Intake Date,Species,Species Class,Age,# of Animals,Date Found,Specific Location,City Found,Cause for Admission,Comments
7/26/14,Barred Owl,Bird,Adult,1,7/24/14,,,Unknown trauma,
5/14/14,Barred Owl,Bird,Adult,1,7/15/14,Route 14,Foster,Hit by car,
2/19/14,Barred Owl,Bird,Adult,1,2/19/14,West Main Road,Little Compton,Hit by car,Left Eye injured
1/21/14,Barred Owl,Bird,Adult,1,1/19/14,59 Webster Avenue,Providence,Neurological,
7/9/14,Black Scoter,Bird,Adult,1,7/9/14,Black Point ,Narragansett,Unknown trauma,
9/6/14,Black-capped Chickadee,Bird,Adult,1,9/6/14,57 Whippoorwill Drive,Wakefield,Unknown trauma,sat in bird bath over 1 hour
7/6/14,Black-capped Chickadee,Bird,Adult,1,7/6/14,Warwick,Warwick,Window Strike,
5/13/14,Blue Jay,Bird,Adult,1,5/13/14,Driveway Pawtucket Village,Cranston,Injured,
7/20/14,Blue Jay,Bird,Adult,1,7/20/14,Cranston,Cranston,Window Strike,
7/30/14,Blue Jay,Bird,Adult,1,7/30/14,298 Pine Orchard Road,Chepachet,Unknown trauma,
9/7/14,Blue Jay,Bird,Adult,1,9/7/14,337 High Street,Wakefield,Unknown trauma,Right Wing
8/15/14,Blue Jay,Bird,Adult,1,8/15/14,Coventry,Coventry,Unknown trauma,
10/9/14,Blue Jay,Bird,Adult,1,10/9/14,47 Magnolia Lane,Coventry,Unknown trauma,
9/3/14,Blue Jay,Bird,Adult,1,9/3/14,85 Salt Pond Road,Wakefield,Unknown trauma,appeared sick
6/21/14,Blue Jay,Bird,Adult,1,6/21/14,Yard 73 Pepin Street,West Warwick,Unknown trauma,
10/23/14,Blue Jay,Bird,Adult,1,10/23/14,Randall Street,Cranston,Unknown trauma,broken wing
6/21/14,Blue Jay,Bird,Adult,1,6/21/14,Backyard 13 Brookside Avenue,North Providence,Unknown trauma,
8/6/14,Blue Jay,Bird,Adult,1,8/6/14,Saunderstown,Saunderstown,Unknown trauma,Broken wing
3/28/14,Blue Jay,Bird,Adult,1,3/28/14,yard 37 Randall Street,Smithfield,Cat attack,Fx at joint
7/25/14,Blue Jay,Bird,Adult,1,7/25/14,Phillips Street,"Attleboro, MA",Injured,Ran over wing
8/16/14,Broad winged Hawk,Bird,Adult,1,8/16/14,275 Sleet Farm,Burrillville,Unknown trauma,
6/4/14,Broad-winged Hawk,Bird,Adult,1,6/4/14,Route 3,Coventry,HBC,
10/8/14,Brown Creeper,Bird,Adult,1,10/8/14,Brown University,Providence,Unknown trauma,
11/8/14,Brown Creeper,Bird,Adult,1,11/8/14,Newport Naval Base,Newport,Window Strike,
5/23/14,Budgerigar (Parakeet),Bird,Adult,1,5/23/14,,Warwick,Domestic,
5/8/14,Budgerigar (Parakeet),Bird,Adult,1,5/2/14,Stony Lane,North Kingstown,Domestic,
5/29/14,Button Quail,Bird,Adult,1,5/28/14,Silver Lake,Providence,Domestic,
7/29/14,Canada Goose,Bird,Adult,1,7/29/14,Field North Crowe Point Road,Central Falls,Unknown trauma,
9/22/14,Canada Goose,Bird,Adult,1,9/22/14,CCRI-Lincoln Fieldhouse,Lincoln,Unknown trauma,
5/22/14,Canada Goose,Bird,Adult,1,5/22/14,Woodland Drive,Richmond,Injured,
10/22/14,Canada Goose,Bird,Adult,1,10/22/14,16 Fourth Street,Charlestown,Unknown trauma,Mangled wing
4/26/14,Canada Goose,Bird,Adult,1,4/26/14,Old River Road,Lincoln,Hit by car,
12/18/14,Canada Goose,Bird,Adult,1,12/17/14,In Yard,North Stonington,Shot ,
7/28/14,Canada Goose,Bird,Adult,1,7/28/14,Smithfield  ,Smithfield,Wing injury,Broken wing
1/14/14,Canada Goose,Bird,Adult,1,1/14/14,Apponaug Cove,Warwick,Neurological,"thin, weak, failing, poor feathers"
4/21/14,Canada Goose,Bird,Adult,1,4/20/14,940 Centerville Road,Warwick,Unknown trauma,
5/2/14,Canada Goose,Bird,Adult,1,5/2/14,Centreville Road,Warwick,Broken Wing,
7/8/14,Canada Goose,Bird,Adult,1,7/8/14,Greenwich Avenue,Warwick,Unknown trauma,"Lethargic , broken foot "
10/6/14,Canada Goose,Bird,Adult,1,10/6/14,Apponaug,Warwick,Fish Hook in knee,
1/11/14,Canada Goose,Bird,Adult,1,1/11/14,Peckham Road,Little Compton,Injured,
2/20/14,Canada Goose,Bird,Adult,1,2/20/14,65 Barker Lane,Warren,Toe infection/ankle infection,
3/5/14,Canada Goose,Bird,Adult,1,3/5/14,Channel 10 Kenney Drive,Cranston,Leg injury,Fx at joint
7/15/14,Canada Goose,Bird,Adult,1,7/15/14,161 Ponnarransett Avenue,Warwick,Unknown trauma,Broken wing
7/28/14,Canada Goose,Bird,Adult,1,7/28/14,,Providence,HBC,Not standing
8/4/14,Canada Goose,Bird,Adult,1,8/4/14,Jamestown,Jamestown,Unknown trauma,broken wing
12/1/14,Canada Goose,Bird,Adult,1,12/1/14,33 Beekman Avenue,Cranston,Unknown trauma,
8/27/14,Canada Goose,Bird,Adult,1,8/27/14,Schartner Farms,North Kingstown,Neurological,
2/10/14,Canada Goose,Bird,Adult,1,2/10/14,Whole Foods Sockanosset Cross Roads,Cranston,Thin/Failing,
6/9/14,Canada Goose,Bird,Adult,1,6/9/14,West Warwick Civic Center,West Warwick,Unknown trauma,Leg injury
6/12/14,Canada Goose,Bird,Adult,1,6/12/14,498 Washington Street,Coventry,Unknown trauma,Injured foot
6/24/14,Canada Goose,Bird,Adult,1,6/23/14,Warren Town Beach,Warren,Unknown trauma,
8/16/14,Canada Goose,Bird,Adult,1,8/16/14,St. Joseph's Cemetary,Exeter,Unknown trauma,"Limps, won't fly"
10/6/14,Canada Goose,Bird,Adult,1,10/6/14,Water Street,Providence,Unknown trauma,Injured leg
9/25/14,Canada Goose,Bird,Adult,1,9/25/14,Warwick Police Station,Warwick,Unknown trauma,Injured leg
8/17/14,Canada Goose,Bird,Adult,1,8/17/14,45 Emily Lane,Warwick,Unknown trauma,Leg injury
11/18/14,Canada Goose,Bird,Adult,1,10/1/14,27 Woodward Road,Lincoln,Angel wings,
11/20/14,Cedar Waxwing,Bird,Adult,1,11/20/14,In yard,Greenville,Window Strike,
8/6/14,Cedar Waxwing,Bird,Adult,1,8/6/14,Side of road,Jamestown,Unknown trauma,
6/6/14,Cedar Waxwing,Bird,Adult,1,6/6/14,Lincoln Woods State Park,Lincoln,Unknown trauma,
4/21/14,Cedar Waxwing,Bird,Adult,1,4/20/14,,,Injured,
6/12/14,Chicken (Domestic),Bird,Adult,1,6/12/14,Roger Williams Park Zoo,Providence,Unknown trauma,"Found in pond, injuried neck"
6/13/14,Chicken (Domestic),Bird,Adult,1,6/13/14,Roger Williams Park Zoo,Providence,Unknown trauma,
7/29/14,Chimney Swift,Bird,Adult,1,7/28/14,79 Fairview Ave,Pawtucket,Injured,
5/23/14,Chimney Swift,Bird,Adult,1,5/23/14,Front Street,Woonsocket,Injured,Fractured wing
6/25/14,Chinese Golden Pheasant (Domestic),Bird,Adult,1,6/24/14,30 Paquin Place,Middletown,Lost,
9/30/14,Cockatiel (Domestic),Bird,Adult,1,9/30/14,57 Marne,Johnston,Orphaned,
1/15/14,Common Eider,Bird,Adult,1,1/15/14,Fort Weatheral,Jamestown,Broken Wing,
10/14/14,Common Eider,Bird,Adult,1,10/14/14,2nd Beach,Newport,Unknown trauma,Cuts on both legs
2/28/14,Common Golden Eye,Bird,Adult,1,2/28/14,Water Way,Barrington,Broken Wing,
6/18/14,Common Grackle,Bird,Adult,1,6/18/14,Backyard ,East Greenwich,Animal Attack,
7/17/14,Common Grackle,Bird,Adult,1,7/17/14,203 Biscuit City Rd,Kingston,Injured,
7/16/14,Common Grackle,Bird,Adult,1,7/15/14,John Street,Johnston,Unknown trauma,Back injury
4/21/14,Common Grackle,Bird,Adult,1,4/21/14,Wakefield,Wakefield,Unknown trauma,"Can't fly, leg injury, no tail feathers"
8/1/14,Common Grackle,Bird,Adult,1,8/1/14,26 Flora Ave,Woonsocket,Injured,
7/1/14,Common Grackle,Bird,Adult,1,6/29/14,,,Unknown trauma,Broken leg
6/24/14,Common Grackle,Bird,Adult,1,6/24/14,School Street,"Seekonk, MA",Hit by car,
6/13/14,Common Grackle,Bird,Adult,1,6/12/14,Yard 212 Unit Street,Providence,Cat attack,
6/30/14,Common Grackle,Bird,Adult,1,6/30/14,Roger Williams Park Zoo,Providence,Flew into building,
4/6/14,Common Loon,Bird,Adult,1,4/6/14,Salve Regina College,Newport,Unknown trauma,
8/1/14,Common Loon,Bird,Adult,1,8/1/14,East Matunuck Beach,South Kingstown,Unknown trauma,Injured leg
1/7/14,Common Loon,Bird,Adult,1,1/8/14,Warwick Cove,Warwick,Thin/Failing,
2/23/14,Common Loon,Bird,Adult,1,2/24/14,Moonstone Beach,South Kingstown,unable to fly,Missing primary/flight feathers
7/9/14,Common Loon,Bird,Adult,1,7/9/14,Block Island Town Hall,Block Island,Unknown trauma,"Emaciated, sick, injured"
10/1/14,Common Nighthawk,Bird,Adult,1,9/28/14,120 Welks Lane,Glocester,Unknown trauma,
10/3/14,Common Tern,Bird,Adult,1,10/3/14,Sachuest Point Refuge,Middletown,Unknown trauma,
8/3/14,Cooper's Hawk,Bird,Adult,1,8/3/14,Mount St. Charles,Woonsocket,Unknown trauma,Injured wing
1/10/14,Cooper's Hawk,Bird,Adult,1,1/9/14,1159 Chopmist Hill Road,Scituate,Hit by school bus,
3/19/14,Cooper's Hawk,Bird,Adult,1,3/19/14,Village Inn,Narragansett,Head Trauma,
9/7/14,Cooper's Hawk,Bird,Adult,1,9/6/14,Bailey's Ledge Road Sakonnett Point,Little Compton,Unknown trauma,Paralyzed
12/13/14,Cooper's Hawk,Bird,Adult,1,12/13/14,Twin Willows Farm,Johnston,Trapped in building,Died of Stress
12/29/14,Cooper's Hawk,Bird,Adult,1,12/29/14,Crowne Plaza,Warwick,Window Strike,
4/28/14,Cooper's Hawk,Bird,Adult,1,4/28/14,Mendon Road,Cumberland,Gunshot wound,Pellet in left wing
7/26/14,Cooper's Hawk,Bird,Adult,1,7/26/14,20 Coney Trl,Richmond,Injured,
8/6/14,Cooper's Hawk,Bird,Adult,1,8/6/14,Hillsdale Avenue,Richmond,Unknown trauma,
11/21/14,Cooper's Hawk,Bird,Adult,1,11/21/14,Warwick Mall,Warwick,Unknown trauma,
11/28/14,Dark-eyed Junco,Bird,Adult,1,11/28/14,In Yard,"Dayville, CT",Window Strike,
3/3/14,Dark-eyed Junco,Bird,Adult,1,3/3/14,705 Shermantown Road,Saunderstown,Flew into window,
11/27/14,Dark-eyed Junco,Bird,Adult,1,11/27/14,In yard,Exeter,Unknown Trauma,Fx Wing - compound
1/5/14,Dark-eyed Junco,Bird,Adult,1,1/5/14,35 Advent Street,North Kingstown,Broken Wing,Cat Caught
11/13/14,Dark-eyed Junco,Bird,Adult,1,11/12/14,In Yard,North Kingstown,Cat attack,
5/27/14,Double-crested Cormorant,Bird,Adult,1,5/26/14,,Tiverton,Fishing line entaglement,
10/8/14,Double-crested Cormorant,Bird,Adult,1,10/8/14,104 Wood Street,Warwick,Unknown trauma,
10/16/14,Double-crested Cormorant,Bird,Adult,1,10/16/14,URI Near Sherman Building,North Kingstown,Unknown trauma,
8/12/14,Double-crested Cormorant,Bird,Adult,1,8/12/14,Boston Neck Road,Narragansett,Unknown trauma,
8/25/14,Double-crested Cormorant,Bird,Adult,1,8/25/14,"Dunkin Donuts, Wickford",Wickford,Emaciated,
11/10/14,Double-crested Cormorant,Bird,Adult,1,11/10/14,529 Reservior Avenue,Cranston,Unknown Trauma,
9/26/14,Double-crested Cormorant,Bird,Adult,1,9/26/14,East Matunuck Beach,Matunuck,Embedded Fishing hook ,Infected joint
10/13/14,Double-crested Cormorant,Bird,Adult,1,10/13/14,Newport  ,Newport,Fish Hook/line in face,Broken foot 
9/15/14,Downy Woodpecker,Bird,Adult,1,9/15/14,North Providence ,North Providence,Injured,Head Trauma
9/30/14,Downy Woodpecker,Bird,Adult,1,9/30/14,,,Unknown trauma,Unable to walk
1/17/14,Downy Woodpecker,Bird,Adult,1,1/16/14,15 B Lamphere Road,Westerly,Broken Wing,
7/9/14,Downy Woodpecker,Bird,Adult,1,7/6/14,244 3rd Ave,Warwick,Unknown trauma,Injured wing
7/17/14,Duck (Domestic),Bird,Adult,1,7/17/14,Bitter Sweet Farm ,East Greenwich,Unknown trauma,
12/18/14,Duck (Domestic),Bird,Adult,1,12/18/14,Wolf Rock Road,Exeter,Domestic,
6/14/14,Duck (Domestic),Bird,Adult,1,6/13/14,422 Hillsdale Road,Richmond,Injured,Wound on shoulder
10/4/14,Duck (Domestic),Bird,Adult,1,10/4/14,,,Unknown trauma,Leg injury
1/3/14,Duck (Domestic),Bird,Adult,1,1/3/14,Roger Williams Park,Providence,Frozen in ice,Domestic
5/7/14,Duck (Domestic) ,Bird,Adult,1,5/7/14,RI Animal Medical Center/4 Paws,Warwick,Abandoned,Left outside animal center
4/17/14,Eastern Screech Owl,Bird,Adult,1,4/17/14,,Coventry,Unknown trauma,
3/29/14,Eastern Screech Owl,Bird,Adult,1,3/29/14,84-87 Abbey Street,Warwick,Injured,
7/3/14,Eastern Screech Owl,Bird,Adult,1,7/3/14,Warwick Neck Avenue,Warwick,Unknown trauma,
12/16/14,Eastern Screech Owl,Bird,Adult,1,12/26/14,Near 337 Beechwood Drive,East Greenwich,Hit by car,
5/5/14,Eastern Screech Owl,Bird,Adult,1,5/5/14,Brookridge Drive,,Injured,
1/19/14,Eastern Screech Owl,Bird,Adult,1,1/19/14,500 Knotty Oak Road,Coventry,HBC,
1/31/14,Eastern Screech Owl,Bird,Adult,1,1/31/14,500 Miner Road,Narragansett,Injured,Possibly hit by car
1/24/14,Eastern Screech Owl,Bird,Adult,1,1/23/14,10-40 Prospect Street,"Seekonk, MA",Found in Road,
1/28/14,Eastern Screech Owl,Bird,Adult,1,1/28/14,Colt State Park,Bristol,Eye injury,
10/29/14,Eastern Screech Owl ,Bird,Adult,1,10/29/14,643 Pleasant Valley Parkway,Providence,Hit by car,
10/26/14,Eastern Towhee,Bird,Adult,1,10/26/14,Michnock Highway,Coventry,Hit by car,
7/30/14,European Starling,Bird,Adult,1,7/30/14,,,Injured,
7/9/14,European Starling,Bird,Adult,1,7/9/14,Attleboro,Attleboro,Dog attack,
8/22/14,European Starling,Bird,Adult,1,8/22/14,In house 440 South County trail,North Kingstown,Unknown trauma,
2/6/14,European Starling,Bird,Adult,1,2/6/14,32 Kilvert Street,Warwick,Neurological,
5/2/14,European Starling,Bird,Adult,1,5/3/14,36 Fairfax Drive,Warwick,Back injury,Paralyzed
11/24/14,European Starling,Bird,Adult,1,11/24/14,200 High Point ,Portsmouth,Trapped in building,
10/31/14,Fish Crow,Bird,Adult,1,10/21/14,21 Andover Road,Warwick,Hit by car,
6/12/14,Glossy Ibis,Bird,Adult,1,6/11/14,133 Middle Road,Portsmouth,Unknown trauma,Injured wing
1/8/14,Golden-crowned Kinglet,Bird,Adult,1,1/8/14,Tarbox Toyota,North Kingstown,Flew into window,
7/28/14,Great Black-backed Gull,Bird,Adult,1,7/28/14,41 Sherman St,Newport,Injured,
7/19/14,Great Black-backed Gull,Bird,Adult,1,7/19/14,121 Atlantic Ave,Westerly,Wing injury,
12/10/14,Great Black-backed Gull,Bird,Adult,1,12/10/14,Behind Sandy Lane Meat Market,Warwick,Unknown trauma,
5/30/14,Great Blue Heron,Bird,Adult,1,5/30/14,Roger Williams Park Zoo,Providence,Injured,"Emaciated, maggots in wounds"
2/21/14,Great Blue Heron,Bird,Adult,1,2/21/14,118 Spooner Avenue,Warwick,Thin/Failing,Emaciated
8/18/14,Great Blue Heron,Bird,Adult,1,8/17/14,1990 Wallum Lake Road,Burrillville,Emaciated,
9/30/14,Great Blue Heron,Bird,Adult,1,9/27/14,46-48 Taft Street (Boat launch),Pawtucket,Unknown trauma,Broken wing
7/5/14,Great Blue Heron,Bird,Adult,1,7/5/14,J.L. Curran Reservoir,Scituate,Unknown trauma,Missing Right Leg
8/18/14,Great Blue Heron,Bird,Adult,1,8/17/14,727 School Street,Pawtucket,Unknown trauma,Broken leg
8/15/14,Great Horned Owl,Bird,Adult,1,8/15/14,Portsmouth Abbey,Portsmouth,Unknown trauma,Blind
8/5/14,Great Horned Owl,Bird,Adult,1,8/5/14,Cider Mill Lane,Lincoln,Unknown trauma,Injured Leg
8/24/14,Great Horned Owl,Bird,Adult,1,8/23/14,Stony Lane,North Kingstown,Unknown trauma,Injured wing
10/14/14,Great Horned Owl,Bird,Adult,1,10/14/14,Rt. 1 Jamestown/Newport,North Kingstown,Hit by car,
4/19/14,Greater Black-backed Gull,Bird,Adult,1,4/19/14,Near Atlantic Beach Club,Middletown,Hit by car,
8/8/14,Greater Black-backed Gull,Bird,Adult,1,8/8/14,Westerly,Westerly,Unknown trauma,
3/21/14,Greater Black-backed Gull,Bird,Adult,1,3/21/14,Harbour,Newport,wing injury,
7/31/14,Greater Black-backed Gull,Bird,Adult,1,7/31/14,Side of road,,Unknown trauma,Injured foot
7/20/14,Greater Black-backed Gull,Bird,Adult,1,7/20/14,Warwick,Warwick,Unknown trauma,"Injured leg, emaciated"
10/20/14,Greater Black-backed Gull,Bird,Adult,1,10/20/14,Matunick Beach,South Kingstown,Unknown trauma,Broken wing
6/9/14,Greater Black-backed Gull,Bird,Adult,1,6/9/14,Navy Base,Newport,Unknown trauma,Broken wing
6/10/14,Greater Black-backed Gull,Bird,Adult,1,6/10/14,Hyatt Regency Goat Island,Newport,Unknown trauma,Injured Leg
7/9/14,Greater Black-backed Gull,Bird,Adult,1,7/9/14,Lighthouse Inn Point Judith,Narragansett,Unknown trauma,
8/2/14,Greater Black-backed Gull,Bird,Adult,1,8/2/14,Warwick,Warwick,Unknown trauma,Broken wing
10/16/14,Greater Black-backed Gull,Bird,Adult,1,10/10/14,963 Matunuck Beach Road,Matunuck,Unknown trauma,Broken wing
6/7/14,Greater Black-backed Gull,Bird,Adult,1,6/8/14,Salty Brine State Beach,Narragansett,Unknown trauma,
1/25/14,Greater Scaup,Bird,Adult,1,1/25/14,Parking Lot Sakonnet Point,Little Compton,weak,unable to fly
4/7/14,Greater Scaup,Bird,Adult,1,4/7/14,Route 114,Bristol,Emaciated,Found in road
4/10/14,Greater Scaup,Bird,Adult,1,4/6/14,Western & Jenks Street,Providence,Thin,
8/25/14,Grey Catbird,Bird,Adult,1,8/26/14,39 Shannock Hill Road,Carolina,Flew into window,
8/25/14,Grey Catbird,Bird,Adult,1,8/23/14,2 Powaget Avenue,Charlestown,Window Strike,
6/7/14,Grey Catbird,Bird,Adult,1,6/7/14,Phil Gasbarro's Liquor Store,East Providence,Unknown trauma,
9/8/14,Grey Catbird,Bird,Adult,1,9/8/14,Newport,Newport,Unknown trauma,Possibly hit by car
9/26/14,Grey Catbird,Bird,Adult,1,9/26/14,50 Sunset Avenue,Saunderstown,Unknown trauma,
5/5/14,Grey Catbird,Bird,Adult,1,5/5/14,Oak Hill Road,,,
8/14/14,Grey Catbird,Bird,Adult,1,8/14/14,Warwick Police Station,Warwick,Unknown trauma,
8/16/14,Grey Catbird,Bird,Adult,1,8/16/14,Warwick,Warwick,Cat attack,Broken hip
5/14/14,Grey Catbird,Bird,Adult,1,5/14/14,Brown University,Providence,Window Strike,Back injury
9/16/14,Grey Catbird,Bird,Adult,1,9/16/14,631A Metacom Avenue,Warren,Unknown trauma,broken leg 
7/24/14,Grey Catbird,Bird,Adult,1,7/24/14,URI Bay Campus,North Kingstown,Unknown trauma,Broken jaw
7/1/14,Grey Catbird,Bird,Adult,1,7/1/14,yard Woodcove Drive,Coventry,Window Strike,
4/6/14,Guinea Fowl,Bird,Adult,3,4/6/14,Yard Chester Street,Woonsocket,Feral,
3/18/14,Hairy Woodpecker,Bird,Adult,1,3/18/14,yard 371 Dyer Avenue,Cranston,Cat attack,Broken wing
2/17/14,Hermit Thrush,Bird,Adult,1,2/18/14,Curtis Corner Road,Wakefield,Hit by car,
7/28/14,Herring Gull,Bird,Adult,1,7/28/14,Lighthouse Inn,Point Judith,Injured,Broken wing
5/12/14,Herring Gull,Bird,Adult,1,5/12/14,Broad Rock Athletic Field,North Kingstown,Injured,
8/11/14,Herring Gull,Bird,Adult,1,8/10/14,America Way,Jamestown,Soaked in petroleum,
8/28/14,Herring Gull,Bird,Adult,1,8/28/14,Jim's Dock,Jerusalem,Emaciated,
3/21/14,Herring Gull,Bird,Adult,1,3/21/14,,,Hit by car,broken wing
2/10/14,Herring Gull,Bird,Adult,1,2/9/14,Sherman Ave Playground,Cranston,Frostbite to feet & legs,
8/28/14,Herring Gull,Bird,Adult,1,8/28/14,1451 Elmwood Avenue,Cranston,"String around tongue, beak, legs",Tongue necrotic
11/7/14,Herring Gull,Bird,Adult,1,11/7/14,Narragansett Beach,Narragansett,Unknown Trauma,
3/7/14,Herring Gull,Bird,Adult,1,3/7/14,36 East Shore Drive,Exeter,Hit by car,Fx at joint
6/23/14,Herring Gull,Bird,Adult,1,6/23/14,,,Unknown trauma,dislocated shoulder
